# Viterbi_decoding posterior_decoding posterior_mean
1.75 1.75 2.008571
1.75 1.75 2.008810
1.75 1.75 2.009053
1.75 1.75 2.009298
1.75 1.75 2.009548
1.75 1.75 2.009801
1.75 1.75 2.010057
1.75 1.75 2.010317
1.75 1.75 2.010581
1.75 1.75 2.010848
1.75 1.75 2.011118
1.75 1.75 2.011393
1.75 1.75 2.011670
1.75 1.75 2.011952
1.75 1.75 2.012236
1.75 1.75 2.012525
1.75 1.75 2.012817
1.75 1.75 2.013112
1.75 1.75 2.013412
1.75 1.75 2.013715
1.75 1.75 2.014021
1.75 1.75 2.014331
1.75 1.75 2.014645
1.75 1.75 2.014962
1.75 1.75 2.015283
1.75 1.75 2.015608
1.75 1.75 2.015937
1.75 1.75 2.016269
1.75 1.75 2.016605
1.75 1.75 2.016944
1.75 1.75 2.017288
1.75 1.75 2.017635
1.75 1.75 2.017985
1.75 1.75 2.018340
1.75 1.75 2.018698
1.75 1.75 2.019061
1.75 1.75 2.019427
1.75 1.75 2.019796
1.75 1.75 2.020170
1.75 1.75 2.020547
1.75 1.75 2.020237
1.75 1.75 2.019930
1.75 1.75 2.019626
1.75 1.75 2.019326
1.75 1.75 2.019030
1.75 1.75 2.018737
1.75 1.75 2.018448
1.75 1.75 2.018163
1.75 1.75 2.017881
1.75 1.75 2.017602
1.75 1.75 2.017327
1.75 1.75 2.017055
1.75 1.75 2.016787
1.75 1.75 2.016522
1.75 1.75 2.016261
1.75 1.75 2.016003
1.75 1.75 2.015748
1.75 1.75 2.015497
1.75 1.75 2.015249
1.75 1.75 2.015005
1.75 1.75 2.014764
1.75 1.75 2.014526
1.75 1.75 2.014292
1.75 1.75 2.014061
1.75 1.75 2.013833
1.75 1.75 2.013608
1.75 1.75 2.013387
1.75 1.75 2.013169
1.75 1.75 2.012954
1.75 1.75 2.012743
1.75 1.75 2.012534
1.75 1.75 2.012329
1.75 1.75 2.012127
1.75 1.75 2.011929
1.75 1.75 2.011733
1.75 1.75 2.011541
1.75 1.75 2.011352
1.75 1.75 2.011166
1.75 1.75 2.010983
1.75 1.75 2.010803
1.75 1.75 2.010627
1.75 1.75 2.010453
1.75 1.75 2.010283
1.75 1.75 2.010115
1.75 1.75 2.009951
1.75 1.75 2.009790
1.75 1.75 2.009632
1.75 1.75 2.009477
1.75 1.75 2.009325
1.75 1.75 2.009177
1.75 1.75 2.009031
1.75 1.75 2.008888
1.75 1.75 2.008748
1.75 1.75 2.008612
1.75 1.75 2.008478
1.75 1.75 2.008347
1.75 1.75 2.007474
1.75 1.75 2.006607
1.75 1.75 2.005746
1.75 1.75 2.004891
1.75 1.75 2.004043
1.75 1.75 2.003200
1.75 1.75 2.002363
1.75 1.75 2.001532
1.75 1.75 2.000707
1.75 1.75 1.999888
1.75 1.75 1.999075
1.75 1.75 1.998267
1.75 1.75 1.997465
1.75 1.75 1.996669
1.75 1.75 1.995878
1.75 1.75 1.995093
1.75 1.75 1.994314
1.75 1.75 1.993540
1.75 1.75 1.992772
1.75 1.75 1.992008
1.75 1.75 1.991251
1.75 1.75 1.990499
1.75 1.75 1.989752
1.75 1.75 1.989010
1.75 1.75 1.988274
1.75 1.75 1.987543
1.75 1.75 1.986817
1.75 1.75 1.986096
1.75 1.75 1.985381
1.75 1.75 1.984670
1.75 1.75 1.983965
1.75 1.75 1.983264
1.75 1.75 1.982569
1.75 1.75 1.981878
1.75 1.75 1.981193
1.75 1.75 1.980512
1.75 1.75 1.979837
1.75 1.75 1.979166
1.75 1.75 1.978500
1.75 1.75 1.977838
1.75 1.75 1.977182
1.75 1.75 1.976530
1.75 1.75 1.975883
1.75 1.75 1.975240
1.75 1.75 1.974603
1.75 1.75 1.973969
1.75 1.75 1.973341
1.75 1.75 1.972717
1.75 1.75 1.972097
1.75 1.75 1.971482
1.75 1.75 1.970871
1.75 1.75 1.970265
1.75 1.75 1.969663
1.75 1.75 1.969066
1.75 1.75 1.968473
1.75 1.75 1.967884
1.75 1.75 1.967300
1.75 1.75 1.966720
1.75 1.75 1.966144
1.75 1.75 1.965572
1.75 1.75 1.965005
1.75 1.75 1.964442
1.75 1.75 1.963883
1.75 1.75 1.963328
1.75 1.75 1.962777
1.75 1.75 1.962230
1.75 1.75 1.961688
1.75 1.75 1.961149
1.75 1.75 1.960614
1.75 1.75 1.960084
1.75 1.75 1.959557
1.75 1.75 1.959035
1.75 1.75 1.958516
1.75 1.75 1.958001
1.75 1.75 1.957490
1.75 1.75 1.956983
1.75 1.75 1.956480
1.75 1.75 1.955980
1.75 1.75 1.955485
1.75 1.75 1.954993
1.75 1.75 1.954505
1.75 1.75 1.954020
1.75 1.75 1.953540
1.75 1.75 1.953063
1.75 1.75 1.952590
1.75 1.75 1.952120
1.75 1.75 1.951654
1.75 1.75 1.951192
1.75 1.75 1.950733
1.75 1.75 1.950278
1.75 1.75 1.949826
1.75 1.75 1.949378
1.75 1.75 1.948934
1.75 1.75 1.948493
1.75 1.75 1.948055
1.75 1.75 1.947621
1.75 1.75 1.947190
1.75 1.75 1.946763
1.75 1.75 1.946339
1.75 1.75 1.945919
1.75 1.75 1.945502
1.75 1.75 1.945089
1.75 1.75 1.944678
1.75 1.75 1.944271
1.75 1.75 1.943868
1.75 1.75 1.943468
1.75 1.75 1.943071
1.75 1.75 1.942677
1.75 1.75 1.942287
1.75 1.75 1.941899
1.75 1.75 1.941515
1.75 1.75 1.941135
1.75 1.75 1.940757
1.75 1.75 1.940383
1.75 1.75 1.940011
1.75 1.75 1.939643
1.75 1.75 1.939278
1.75 1.75 1.938917
1.75 1.75 1.938558
1.75 1.75 1.938202
1.75 1.75 1.937850
1.75 1.75 1.937500
1.75 1.75 1.937154
1.75 1.75 1.936811
1.75 1.75 1.936470
1.75 1.75 1.936133
1.75 1.75 1.935799
1.75 1.75 1.935467
1.75 1.75 1.935139
1.75 1.75 1.934814
1.75 1.75 1.934491
1.75 1.75 1.934172
1.75 1.75 1.933855
1.75 1.75 1.933542
1.75 1.75 1.933231
1.75 1.75 1.932923
1.75 1.75 1.932618
1.75 1.75 1.932316
1.75 1.75 1.932017
1.75 1.75 1.931720
1.75 1.75 1.931427
1.75 1.75 1.931136
1.75 1.75 1.930848
1.75 1.75 1.930563
1.75 1.75 1.930281
1.75 1.75 1.930001
1.75 1.75 1.929724
1.75 1.75 1.929450
1.75 1.75 1.929179
1.75 1.75 1.928910
1.75 1.75 1.928645
1.75 1.75 1.928382
1.75 1.75 1.928121
1.75 1.75 1.927863
1.75 1.75 1.927608
1.75 1.75 1.927356
1.75 1.75 1.927107
1.75 1.75 1.926860
1.75 1.75 1.926615
1.75 1.75 1.926374
1.75 1.75 1.926135
1.75 1.75 1.925898
1.75 1.75 1.925664
1.75 1.75 1.925433
1.75 1.75 1.925205
1.75 1.75 1.924979
1.75 1.75 1.924755
1.75 1.75 1.924534
1.75 1.75 1.924316
1.75 1.75 1.924101
1.75 1.75 1.923887
1.75 1.75 1.923677
1.75 1.75 1.923469
1.75 1.75 1.923263
1.75 1.75 1.923060
1.75 1.75 1.922860
1.75 1.75 1.922662
1.75 1.75 1.922467
1.75 1.75 1.922274
1.75 1.75 1.922083
1.75 1.75 1.921895
1.75 1.75 1.921710
1.75 1.75 1.921527
1.75 1.75 1.921346
1.75 1.75 1.921168
1.75 1.75 1.920993
1.75 1.75 1.920820
1.75 1.75 1.920649
1.75 1.75 1.920481
1.75 1.75 1.920315
1.75 1.75 1.920151
1.75 1.75 1.919990
1.75 1.75 1.919832
1.75 1.75 1.919676
1.75 1.75 1.919522
1.75 1.75 1.918668
1.75 1.75 1.917819
1.75 1.75 1.916976
1.75 1.75 1.916138
1.75 1.75 1.915305
1.75 1.75 1.914478
1.75 1.75 1.913656
1.75 1.75 1.912839
1.75 1.75 1.912027
1.75 1.75 1.911220
1.75 1.75 1.910419
1.75 1.75 1.909622
1.75 1.75 1.908831
1.75 1.75 1.908045
1.75 1.75 1.907263
1.75 1.75 1.906487
1.75 1.75 1.905715
1.75 1.75 1.904949
1.75 1.75 1.904187
1.75 1.75 1.903430
1.75 1.75 1.902678
1.75 1.75 1.901931
1.75 1.75 1.901188
1.75 1.75 1.900450
1.75 1.75 1.899717
1.75 1.75 1.898989
1.75 1.75 1.898265
1.75 1.75 1.897545
1.75 1.75 1.896831
1.75 1.75 1.896121
1.75 1.75 1.895415
1.75 1.75 1.894714
1.75 1.75 1.894017
1.75 1.75 1.893325
1.75 1.75 1.892637
1.75 1.75 1.891954
1.75 1.75 1.891275
1.75 1.75 1.890600
1.75 1.75 1.889929
1.75 1.75 1.889263
1.75 1.75 1.888601
1.75 1.75 1.887944
1.75 1.75 1.887290
1.75 1.75 1.886641
1.75 1.75 1.885996
1.75 1.75 1.885355
1.75 1.75 1.884718
1.75 1.75 1.884085
1.75 1.75 1.883457
1.75 1.75 1.882832
1.75 1.75 1.882211
1.75 1.75 1.881595
1.75 1.75 1.880982
1.75 1.75 1.880373
1.75 1.75 1.879768
1.75 1.75 1.879167
1.75 1.75 1.878570
1.75 1.75 1.877977
1.75 1.75 1.877388
1.75 1.75 1.876802
1.75 1.75 1.876221
1.75 1.75 1.875643
1.75 1.75 1.875068
1.75 1.75 1.874498
1.75 1.75 1.873931
1.75 1.75 1.873368
1.75 1.75 1.872809
1.75 1.75 1.872253
1.75 1.75 1.871701
1.75 1.75 1.871152
1.75 1.75 1.870607
1.75 1.75 1.870066
1.75 1.75 1.869528
1.75 1.75 1.868994
1.75 1.75 1.868463
1.75 1.75 1.867936
1.75 1.75 1.867412
1.75 1.75 1.866891
1.75 1.75 1.866374
1.75 1.75 1.865861
1.75 1.75 1.865351
1.75 1.75 1.864844
1.75 1.75 1.864341
1.75 1.75 1.863841
1.75 1.75 1.863344
1.75 1.75 1.862850
1.75 1.75 1.862360
1.75 1.75 1.861873
1.75 1.75 1.861390
1.75 1.75 1.860909
1.75 1.75 1.860432
1.75 1.75 1.859958
1.75 1.75 1.859488
1.75 1.75 1.859020
1.75 1.75 1.858556
1.75 1.75 1.858094
1.75 1.75 1.857636
1.75 1.75 1.857181
1.75 1.75 1.856729
1.75 1.75 1.856280
1.75 1.75 1.855835
1.75 1.75 1.855392
1.75 1.75 1.854952
1.75 1.75 1.854515
1.75 1.75 1.854082
1.75 1.75 1.853651
1.75 1.75 1.853223
1.75 1.75 1.852798
1.75 1.75 1.852377
1.75 1.75 1.851958
1.75 1.75 1.851542
1.75 1.75 1.851128
1.75 1.75 1.850718
1.75 1.75 1.850311
1.75 1.75 1.849906
1.75 1.75 1.849505
1.75 1.75 1.849106
1.75 1.75 1.848710
1.75 1.75 1.848317
1.75 1.75 1.847926
1.75 1.75 1.847538
1.75 1.75 1.847154
1.75 1.75 1.846771
1.75 1.75 1.846392
1.75 1.75 1.846015
1.75 1.75 1.845641
1.75 1.75 1.845270
1.75 1.75 1.844902
1.75 1.75 1.844536
1.75 1.75 1.844172
1.75 1.75 1.843812
1.75 1.75 1.843454
1.75 1.75 1.843099
1.75 1.75 1.842746
1.75 1.75 1.842396
1.75 1.75 1.842048
1.75 1.75 1.841703
