# Viterbi_decoding posterior_decoding posterior_mean
1.75 1.75 1.750000
1.75 1.75 1.749990
1.75 1.75 1.749980
1.75 1.75 1.749970
1.75 1.75 1.749960
1.75 1.75 1.749950
1.75 1.75 1.749941
1.75 1.75 1.749931
1.75 1.75 1.749921
1.75 1.75 1.749911
1.75 1.75 1.749902
1.75 1.75 1.749892
1.75 1.75 1.749883
1.75 1.75 1.749873
1.75 1.75 1.749864
1.75 1.75 1.749854
1.75 1.75 1.749845
1.75 1.75 1.749836
1.75 1.75 1.749827
1.75 1.75 1.749817
1.75 1.75 1.749808
1.75 1.75 1.749799
1.75 1.75 1.749790
1.75 1.75 1.749781
1.75 1.75 1.749772
1.75 1.75 1.749763
1.75 1.75 1.749755
1.75 1.75 1.749746
1.75 1.75 1.749737
1.75 1.75 1.749729
1.75 1.75 1.749720
1.75 1.75 1.749712
1.75 1.75 1.749703
1.75 1.75 1.749695
1.75 1.75 1.749687
1.75 1.75 1.749678
1.75 1.75 1.749670
1.75 1.75 1.749662
1.75 1.75 1.749654
1.75 1.75 1.749646
1.75 1.75 1.749638
1.75 1.75 1.749630
1.75 1.75 1.749623
1.75 1.75 1.749615
1.75 1.75 1.749607
1.75 1.75 1.749600
1.75 1.75 1.749592
1.75 1.75 1.749585
1.75 1.75 1.749577
1.75 1.75 1.749570
1.75 1.75 1.749563
1.75 1.75 1.749556
1.75 1.75 1.749549
1.75 1.75 1.749542
1.75 1.75 1.749535
1.75 1.75 1.749528
1.75 1.75 1.749521
1.75 1.75 1.749515
1.75 1.75 1.749508
1.75 1.75 1.749501
1.75 1.75 1.749495
1.75 1.75 1.749489
1.75 1.75 1.749482
1.75 1.75 1.749476
1.75 1.75 1.749470
1.75 1.75 1.749464
1.75 1.75 1.749458
1.75 1.75 1.749452
1.75 1.75 1.749446
1.75 1.75 1.749441
1.75 1.75 1.749435
1.75 1.75 1.749429
1.75 1.75 1.749424
1.75 1.75 1.749419
1.75 1.75 1.749413
1.75 1.75 1.749408
1.75 1.75 1.749403
1.75 1.75 1.749398
1.75 1.75 1.749393
1.75 1.75 1.749388
1.75 1.75 1.749383
1.75 1.75 1.749379
1.75 1.75 1.749374
1.75 1.75 1.749370
1.75 1.75 1.749365
1.75 1.75 1.749361
1.75 1.75 1.749357
1.75 1.75 1.749353
1.75 1.75 1.749349
1.75 1.75 1.749345
1.75 1.75 1.749341
1.75 1.75 1.749337
1.75 1.75 1.749333
1.75 1.75 1.749330
1.75 1.75 1.749326
1.75 1.75 1.749323
1.75 1.75 1.749320
1.75 1.75 1.749317
1.75 1.75 1.749314
1.75 1.75 1.749311
1.75 1.75 1.749308
1.75 1.75 1.749305
1.75 1.75 1.749302
1.75 1.75 1.749300
1.75 1.75 1.749297
1.75 1.75 1.749295
1.75 1.75 1.749293
1.75 1.75 1.749291
1.75 1.75 1.749289
1.75 1.75 1.749287
1.75 1.75 1.749285
1.75 1.75 1.749283
1.75 1.75 1.749282
1.75 1.75 1.749280
1.75 1.75 1.749279
1.75 1.75 1.749277
1.75 1.75 1.749276
1.75 1.75 1.749275
1.75 1.75 1.749274
1.75 1.75 1.749274
1.75 1.75 1.749273
1.75 1.75 1.749272
1.75 1.75 1.749272
1.75 1.75 1.749271
1.75 1.75 1.749271
1.75 1.75 1.749271
1.75 1.75 1.749271
1.75 1.75 1.749271
1.75 1.75 1.749271
1.75 1.75 1.749272
1.75 1.75 1.749272
1.75 1.75 1.749273
1.75 1.75 1.749274
1.75 1.75 1.749275
1.75 1.75 1.749276
1.75 1.75 1.749277
1.75 1.75 1.749278
1.75 1.75 1.749279
1.75 1.75 1.749281
1.75 1.75 1.749282
1.75 1.75 1.749284
1.75 1.75 1.749286
1.75 1.75 1.749288
1.75 1.75 1.749290
1.75 1.75 1.749293
1.75 1.75 1.749295
1.75 1.75 1.749298
1.75 1.75 1.749300
1.75 1.75 1.749303
1.75 1.75 1.749306
1.75 1.75 1.749309
1.75 1.75 1.749313
1.75 1.75 1.749316
1.75 1.75 1.749320
1.75 1.75 1.749323
1.75 1.75 1.749327
1.75 1.75 1.749331
1.75 1.75 1.749335
1.75 1.75 1.749340
1.75 1.75 1.749344
1.75 1.75 1.749349
1.75 1.75 1.749354
1.75 1.75 1.749359
1.75 1.75 1.749364
1.75 1.75 1.749369
1.75 1.75 1.749374
1.75 1.75 1.749380
1.75 1.75 1.749386
1.75 1.75 1.749392
1.75 1.75 1.749398
1.75 1.75 1.749404
1.75 1.75 1.749410
1.75 1.75 1.749417
1.75 1.75 1.749424
1.75 1.75 1.749431
1.75 1.75 1.749438
1.75 1.75 1.749445
1.75 1.75 1.749452
1.75 1.75 1.749460
1.75 1.75 1.749468
1.75 1.75 1.749476
1.75 1.75 1.749484
1.75 1.75 1.749492
1.75 1.75 1.749501
1.75 1.75 1.749510
1.75 1.75 1.749519
1.75 1.75 1.749528
1.75 1.75 1.749537
1.75 1.75 1.749547
1.75 1.75 1.749556
1.75 1.75 1.749566
1.75 1.75 1.749576
1.75 1.75 1.749587
1.75 1.75 1.749597
1.75 1.75 1.749608
1.75 1.75 1.749619
1.75 1.75 1.749630
1.75 1.75 1.749642
1.75 1.75 1.749653
1.75 1.75 1.749665
1.75 1.75 1.749677
1.75 1.75 1.749689
1.75 1.75 1.749702
1.75 1.75 1.749714
1.75 1.75 1.749727
1.75 1.75 1.749741
1.75 1.75 1.749754
1.75 1.75 1.749768
1.75 1.75 1.749781
1.75 1.75 1.749796
